Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.005,0.4795,0.0021,0.0016,0.0178,0.0024,0.0576
2000,0.0108,1.7894,0.0035,0.0029,0.0388,0.0049,0.1141
3000,0.0173,4.0665,0.0052,0.0045,0.0607,0.0076,0.177
4000,0.0234,7.1111,0.0082,0.0059,0.0829,0.0096,0.2312
5000,0.0302,11.1183,0.008,0.0077,0.1075,0.0124,0.2908
6000,0.0356,16.1086,0.0102,0.009,0.1324,0.0148,0.3669
7000,0.0438,22.7681,0.0115,0.0111,0.1599,0.0176,0.4281
8000,0.0506,29.5143,0.0135,0.0128,0.1889,0.0203,0.4916
9000,0.0577,37.2515,0.0157,0.0142,0.2107,0.0235,0.5619
10000,0.0652,46.1529,0.0172,0.015,0.232,0.0258,0.6251
