Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0049,0.4691,0.004,0.0017,0.0166,0.0027,0.0645
2000,0.0111,1.8327,0.004,0.0035,0.0371,0.0055,0.1343
3000,0.0174,4.109,0.0063,0.0053,0.058,0.0086,0.2129
4000,0.0241,7.3129,0.0087,0.0072,0.0805,0.0111,0.2819
5000,0.0308,11.5007,0.0105,0.009,0.1037,0.0141,0.3545
6000,0.0374,16.6623,0.0128,0.0111,0.1277,0.0176,0.4367
7000,0.0462,22.2859,0.0146,0.0132,0.1519,0.0202,0.5088
8000,0.0518,28.8509,0.0171,0.015,0.1756,0.0231,0.5731
9000,0.0595,36.7158,0.0199,0.0176,0.2008,0.0267,0.6631
10000,0.0685,45.0405,0.0226,0.0191,0.2203,0.0298,0.7346
