Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0042,0.4528,0.0023,0.0017,0.0167,0.0026,0.0648
2000,0.0109,1.8848,0.004,0.0037,0.0378,0.0056,0.1372
3000,0.0175,4.1391,0.0066,0.0054,0.0599,0.0085,0.215
4000,0.024,7.3648,0.0088,0.0072,0.0827,0.0109,0.2871
5000,0.0311,11.6171,0.0105,0.0091,0.1055,0.0147,0.3563
6000,0.0372,17.1554,0.0132,0.0117,0.1369,0.0183,0.4665
7000,0.0477,23.1715,0.0155,0.0139,0.1648,0.0288,0.5492
8000,0.0568,30.5864,0.0177,0.0153,0.1796,0.0231,0.585
9000,0.0613,38.3207,0.0215,0.0187,0.2116,0.0271,0.6916
10000,0.072,48.1381,0.0237,0.0206,0.2395,0.033,0.8147
